Matthias Bachinger,84
Stefano Travaglia,83
Elias Ymer,83
Gastao Elias,82
Cedrik Marcel Stebe,82
Norbert Gombos,80
Dominik Koepfer,80
Maximilian Marterer,79
Lorenzo Musetti,78
Ryan Sweeting,78
Joao Souza,77
Nicolas Kiefer,76
Federico Coria,75
Paul Capdeville,75
Simon Greul,75
Hugo Dellien,74
Mario Ancic,74
Dennis Novak,73
Jan Hernych,73
Ruben Ramirez Hidalgo,72
Mirza Basic,71
Fabrice Santoro,71
Bobby Reynolds,70
Nicolas Lapentti,69
Rui Machado,69
Peter Luczak,67
Christophe Rochus,66
Jozef Kovalik,65
Botic Van De Zandschulp,65
Andrej Martin,65
Carlos Moya,65
Ivan Navarro,64
Guillermo Canas,63
Martin Vassallo Arguello,63
Salvatore Caruso,63
Denis Gremelmayr,63
Bjorn Fratangelo,61
Chris Guccione,61
Jurgen Zopp,61
Alejandro Gonzalez,61
Yannick Hanfmann,60
Arthur Rinderknech,60
Taylor Dent,60
Yuki Bhambri,60
Adrian Ungur,60
Kristof Vliegen,60
Ze Zhang,60
Peter Polansky,60
Gianluca Mager,59
Nicolas Massu,59
Marcos Daniel,59
Brandon Nakashima,59
Kamil Majchrzak,59
Ivo Minar,58
Agustin Calleri,58
Renzo Olivo,56
Robert Kendrick,55
Daniel Elahi Galan,54
Waiting,0
